// SpatialAnalyzer SA 2021.3.1012.1 ( x64 )  
// Points Relative to Coordinate Frame 'Messung::WORLD'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

Messung,  new 1,  19-02,  -201841.190000,  619025.130000,  12006.250000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  25-02,  -201851.080000,  625046.250000,  9993.780000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  30-10,  -209998.920000,  630019.340000,  9989.740000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  30-11,  -211066.110000,  631163.930000,  9997.410000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  100-02,  -202005.740000,  700027.470000,  -1502.970000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  100-10,  -210002.400000,  700025.230000,  -1502.860000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  100-20,  -219993.370000,  700011.940000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  100-30,  -230044.450000,  700002.160000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  100-40,  -240003.300000,  699983.120000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  105-15,  -215015.370000,  705015.730000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  105-25,  -225015.120000,  704993.880000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  110-02,  -202019.020000,  710027.590000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  110-10,  -210014.330000,  710017.610000,  -1501.880000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  110-20,  -220025.130000,  709995.240000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  110-30,  -230013.720000,  709995.860000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  110-40,  -240013.040000,  709989.110000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  115-15,  -215018.290000,  715005.790000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  115-25,  -225014.280000,  715004.780000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  120-02,  -202033.150000,  720018.840000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  120-10,  -210023.870000,  720022.700000,  -1501.870000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  120-20,  -220027.430000,  719992.580000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  120-30,  -230023.460000,  719995.750000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  120-40,  -240071.930000,  719998.100000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  13-32,  -232020.040000,  613284.960000,  9996.400000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  14-33,  -232534.860000,  613540.040000,  9996.140000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  16-26,  -226143.100000,  616518.630000,  9988.090000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  17-23,  -223224.020000,  616630.390000,  9996.760000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  17-30,  -229993.610000,  617518.770000,  9987.550000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  17-37,  -236984.790000,  617516.200000,  9994.180000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  18-43,  -243449.990000,  618160.430000,  9996.130000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  20-25,  -224999.060000,  620020.930000,  9987.990000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  20-30,  -229993.280000,  620015.760000,  9987.190000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  20-35,  -234996.220000,  620024.870000,  9988.870000,  0.000000,  0.000000,  00:00:00,  ,  
