// SpatialAnalyzer SA 2021.3.1012.1 ( x64 )  
// Points Relative to Coordinate Frame 'Standpunkt 1::WORLD'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

Standpunkt 1,  Geometrie1,  1,  1723.693818,  719.334967,  -804.670984,  6.350000,  6.350000,  05/10/19 14:05:18,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  2,  1723.653348,  719.770229,  -803.764320,  6.350000,  6.350000,  05/10/19 14:05:18,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  3,  1723.401236,  719.886515,  -802.802378,  6.350000,  6.350000,  05/10/19 14:05:18,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  4,  1723.162719,  719.980775,  -801.832908,  6.350000,  6.350000,  05/10/19 14:05:18,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  5,  1723.002218,  720.142691,  -800.854821,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  6,  1722.954065,  720.410622,  -799.879419,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  7,  1722.782221,  720.467347,  -798.892856,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  8,  1722.708322,  720.616379,  -797.905453,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  9,  1722.576968,  720.628915,  -796.911680,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  10,  1722.264834,  720.342736,  -796.000111,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  11,  1722.157563,  720.302662,  -794.997194,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  12,  1722.217143,  720.456304,  -794.004517,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  13,  1722.281243,  720.564406,  -793.005416,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  14,  1722.235042,  720.470355,  -792.003830,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  15,  1722.199009,  720.351988,  -791.005931,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  16,  1722.240207,  720.287557,  -790.004388,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  17,  1722.155831,  720.008189,  -789.037646,  6.350000,  6.350000,  05/10/19 14:05:19,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
