20230613,  Positioniere Instr.1,  36-20,  763.348228,  -1453.105176,  -3572.315011,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.017753,  0.017900,  0.017464,  0.030669,  ,  ,  ,  06/13/23 10:08:00,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.004035 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Fast Pt Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000052, v = 0.000040 deg. Level Compensation OFF
20230613,  Positioniere Instr.1,  38-15,  5535.304879,  -1456.147702,  -1533.731135,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.015651,  0.015619,  0.015609,  0.027065,  ,  ,  ,  06/13/23 10:08:27,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.005198 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000082, v = 0.000057 deg. Level Compensation OFF
20230613,  Positioniere Instr.1,  PIM1_5,  3161.088247,  -1415.660255,  4037.443255,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.024592,  0.024290,  0.020726,  0.040303,  ,  ,  ,  06/13/23 10:08:53,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.012183 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000151 mm, h = 0.000089, v = 0.000108 deg. Level Compensation OFF
20230613,  Positioniere Instr.1,  PIM1_4,  3276.790111,  519.462760,  4013.279134,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.023596,  0.023598,  0.019891,  0.038850,  ,  ,  ,  06/13/23 10:09:01,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.006574 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000172 mm, h = 0.000050, v = 0.000059 deg. Level Compensation OFF
20230613,  Positioniere Instr.1,  PIM1_3,  5231.885530,  -107.196626,  4639.038756,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.028012,  0.028987,  0.023777,  0.046800,  ,  ,  ,  06/13/23 10:09:24,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.011217 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000078, v = 0.000073 deg. Level Compensation OFF
20230613,  Kammer,  H11,  83.806004,  -367.898823,  209.897035,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014784,  0.014121,  0.014205,  0.024895,  ,  ,  ,  06/13/23 10:10:55,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.005695 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.001116 mm, h = 0.000076, v = 0.000080 deg. Level Compensation OFF
20230613,  Kammer,  H12,  215.392389,  -368.846690,  -75.730588,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014241,  0.013105,  0.013174,  0.023412,  ,  ,  ,  06/13/23 10:11:00,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.009855 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.004968 mm, h = 0.000146, v = 0.000109 deg. Level Compensation OFF
20230613,  Kammer,  H13,  166.493650,  -369.995873,  -140.624202,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014339,  0.013248,  0.013296,  0.023620,  ,  ,  ,  06/13/23 10:11:06,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.006554 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.001803 mm, h = 0.000116, v = 0.000066 deg. Level Compensation OFF
20230613,  Kammer,  H14,  -86.001935,  -369.808592,  -145.599380,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014996,  0.014403,  0.014424,  0.025305,  ,  ,  ,  06/13/23 10:11:13,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.004585 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000838 mm, h = 0.000074, v = 0.000047 deg. Level Compensation OFF
20230613,  Kammer,  TC1,  158.736130,  229.839134,  -174.424742,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014301,  0.013106,  0.013174,  0.023448,  ,  ,  ,  06/13/23 10:12:02,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.005010 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.001401 mm, h = 0.000087, v = 0.000054 deg. Level Compensation OFF
20230613,  Kammer,  TC2,  -154.361614,  229.255725,  -172.759498,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.015110,  0.014579,  0.014603,  0.025575,  ,  ,  ,  06/13/23 10:12:08,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.006436 mm,  Weather:T=23.6C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.003114 mm, h = 0.000078, v = 0.000074 deg. Level Compensation OFF
