#
# HT88	20180627	Lokales Strahlbezogenes Messnetz für Projekt MUSE
#			Koordinatensystem auf Strahlhöhe im Drehzentrum des Drehtisches
#			Koordinatensystem: "MUSE"
# ID	X	Y	Z
30-11   760.805   -1453.010   6727.130
36-20   763.389   -1453.130   -3572.237
38-15   5535.271   -1456.069   -1533.669
K-30-11   761.545   837.205   6727.249
K-38-15   5536.326   827.966   -1533.679
PIM1_1   -1106.806   1055.614   -1894.646
PIM1_2   2374.243   485.307   -1910.562
PIM1_3   5231.808   -107.153   4638.978
PIM1_4   3277.010   519.352   4013.209
PIM1_5   3160.939   -1415.647   4037.434
PIM1_6   1528.108   390.552   3661.115
PIM1_7   -1372.685   428.627   3426.302
PIM1_8   -5931.294   425.210   3146.076
PIM1_9   -2252.228   585.585   -1317.710
Drehzentrum	0	0	0
