#20230120	DA83	Export aus Auswertung Block1	
#local coordinates			
#ID	X[mm]	Y[mm]	Z[mm]
M OU RL	0	0	0
1_1	-277.606	333.022	4.312
1_2	-14.327	331.42	4.03
1_3	254.129	333.685	4.068
1_4	313.082	293.344	6.995
1_5	313.028	-282.66	7.162
1_6	231.694	-332.174	3.731
1_7	-4.642	-331.808	3.982
1_8	-273.035	-332.158	3.884
1_9	-313.574	-294.096	7.116
1_10	-313.055	303.48	6.938
1_11	-296.559	363.734	7.328
1_12	254.842	360.448	7.357
1_13	230.88	-359.586	6.525
1_14	-274.126	-362.149	7.263
1_15	481.739	-346.103	6.054
1_16	458.359	343.447	6.818
