#20230120 DA83 Export aus Auswertung Block4			
#local coordinates			
#ID	X[mm]	Y[mm]	Z[mm]
Mitte RL OU	0	0	0
4_1	-286.547	332.746	4.127
4_2	-14.895	330.315	4.76
4_3	273.913	332.722	4.625
4_4	313.334	312.782	6.996
4_5	311.812	-298.015	7.058
4_6	232.788	-359.89	7.238
4_7	-216.833	-360.684	7.148
4_8	-318.701	-294.191	7.602
4_9	-316.711	286.255	7.311
4_10	-209.758	362.085	7.19
4_11	238.368	361.541	7.484
4_12	431.56	363.848	32.345
4_13	436.635	-355.21	32.124
4_14	232.812	-359.881	7.209
4_15	-216.794	-360.634	7.121
4_16	-426.621	-346.112	7.052
