#20230208 DA83 Export aus Grundvermessung 7.09.2022 (Bezugsebene Panel 7 Ebene DS)		
#local coordinates			
#ID	X[mm]	Y[mm]	Z[mm]
7_1   367.383   479.997   4.456
7_2   461.378   478.119   6.573
7_3   462.573   411.439   7.097
7_4   460.324   -382.897   6.956
7_5   460.586   -457.450   6.269
7_6   370.365   -482.996   3.646
7_7   -383.431   -483.779   3.856
7_8   -463.946   -477.358   6.866
7_9   -463.467   -396.513   7.226
7_10   -462.301   416.065   6.736
7_11   -462.481   482.336   6.531
7_12   -373.389   480.496   4.355
1   -444.076   465.944   -8.826
2   -444.526   -465.548   -7.356
3   443.548   -465.389   -10.864
4   444.903   465.944   -11.459
1 an Objekt   -444.076   465.944   -0.000
2 an Objekt   -444.526   -465.548   -0.000
3 an Objekt   443.548   -465.389   -0.000
4 an Objekt   444.903   465.944   -0.000
M Diag   0.000   0.000   0.000
