// SpatialAnalyzer SA 2023.1.0525.4 ( x64 )  
// Punkte relativ zum Koordiantensystem 'Standpunkt 1::WORLD'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  30-11,  760.805000,  -1453.010000,  6727.130000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  36-20,  763.389000,  -1453.130000,  -3572.237000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  38-15,  5535.271000,  -1456.069000,  -1533.669000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  K-30-11,  761.545000,  837.205000,  6727.249000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  K-38-15,  5536.326000,  827.966000,  -1533.679000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  PIM1_1,  -1106.806000,  1055.614000,  -1894.646000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  PIM1_2,  2374.243000,  485.307000,  -1910.562000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  PIM1_3,  5231.808000,  -107.153000,  4638.978000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  PIM1_4,  3277.010000,  519.352000,  4013.209000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  PIM1_5,  3160.939000,  -1415.647000,  4037.434000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  PIM1_6,  1528.108000,  390.552000,  3661.115000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  PIM1_7,  -1372.685000,  428.627000,  3426.302000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  PIM1_8,  -5931.294000,  425.210000,  3146.076000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  PIM1_9,  -2252.228000,  585.585000,  -1317.710000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  PiM1_Muse_Netz_20180627.txt,  Drehzentrum,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_1,  209.845000,  418.541000,  654.855000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_2,  208.718000,  475.801000,  656.072000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_3,  246.445000,  480.130000,  585.392000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_4,  625.202000,  478.645000,  -71.930000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_9,  611.255000,  -483.518000,  -47.314000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_10,  247.362000,  -482.909000,  583.581000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_11,  209.446000,  -463.176000,  654.625000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_12,  209.275000,  -374.762000,  655.374000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_13,  209.671000,  33.129000,  654.682000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_15,  174.683000,  -509.974000,  765.970000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_15_M5,  174.690000,  -509.979000,  765.978000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  M4,  180.290000,  -595.794000,  776.706000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  M3,  485.575000,  -674.091000,  213.820000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  M2,  748.076000,  -664.800000,  -232.692000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_17_M1,  719.957000,  -498.518000,  -243.547000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_18,  719.460000,  496.984000,  -242.312000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_5,  671.433000,  480.953000,  -147.182000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_6,  670.484000,  407.606000,  -144.926000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_7,  670.532000,  -384.965000,  -145.172000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_8,  670.284000,  -466.590000,  -145.098000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel6.txt,  PA6_14,  672.134000,  54.233000,  -148.555000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_1,  -254.241000,  478.642000,  572.055000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_2,  -208.953000,  476.696000,  654.483000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_3,  -208.788000,  410.019000,  655.752000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_4,  -209.599000,  -384.266000,  653.564000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_5,  -208.862000,  -458.826000,  653.447000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_6,  -251.730000,  -484.304000,  573.953000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_7,  -629.209000,  -485.121000,  -78.511000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_12,  -625.001000,  479.069000,  -69.370000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_08,  -672.116000,  -478.755000,  -146.700000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_09,  -672.224000,  -397.930000,  -146.088000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_10,  -671.546000,  414.623000,  -145.158000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Ref_Panel7.txt,  PA7_11,  -671.486000,  480.902000,  -145.422000,  0.000000,  0.000000,  00:00:00,  ,  
Standpunkt 1,  Positioniere Instr.1,  PIM1_3,  5231.803516,  -107.195059,  4639.180882,  19.050000,  19.050000,  06/14/23 09:41:12,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.011109 mm,  Weather:T=23.3C,P=973.4hPA(mbar),H=34.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000149 mm, h = 0.000076, v = 0.000072 deg. Level Compensation OFF
Standpunkt 1,  Positioniere Instr.1,  PIM1_4,  3276.735200,  519.463558,  4013.366839,  19.050000,  19.050000,  06/14/23 09:41:29,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.012604 mm,  Weather:T=23.3C,P=973.4hPA(mbar),H=34.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000099 mm, h = 0.000109, v = 0.000098 deg. Level Compensation OFF
Standpunkt 1,  Positioniere Instr.1,  PIM1_5,  3160.984591,  -1415.673148,  4037.515567,  19.050000,  19.050000,  06/14/23 09:41:39,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.011240 mm,  Weather:T=23.3C,P=973.4hPA(mbar),H=34.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000157 mm, h = 0.000085, v = 0.000095 deg. Level Compensation OFF
Standpunkt 1,  Positioniere Instr.1,  38-15,  5535.398410,  -1456.090893,  -1533.715759,  19.050000,  19.050000,  06/14/23 09:42:17,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.005274 mm,  Weather:T=23.3C,P=973.4hPA(mbar),H=34.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000063, v = 0.000073 deg. Level Compensation OFF
Standpunkt 1,  Positioniere Instr.1,  36-20,  763.242283,  -1453.183458,  -3572.510528,  19.050000,  19.050000,  06/14/23 09:42:47,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.003651 mm,  Weather:T=23.3C,P=973.4hPA(mbar),H=34.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000172 mm, h = 0.000041, v = 0.000043 deg. Level Compensation OFF
Standpunkt 1,  Panel6,  PA6_1,  209.696343,  418.466463,  654.720539,  6.350000,  6.350000,  06/14/23 09:45:01,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.004231 mm,  Weather:T=23.1C,P=973.4hPA(mbar),H=34.9%,  Fast Pt Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000908 mm, h = 0.000048, v = 0.000065 deg. Level Compensation OFF
Standpunkt 1,  Panel6,  PA6_3,  246.210015,  480.120553,  585.284447,  6.350000,  6.350000,  06/14/23 09:45:31,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.007318 mm,  Weather:T=23.4C,P=973.4hPA(mbar),H=34.9%,  Fast Pt Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.001287 mm, h = 0.000094, v = 0.000109 deg. Level Compensation OFF
Standpunkt 1,  Panel6,  PA6_2,  208.496285,  475.699568,  655.952343,  6.350000,  6.350000,  06/14/23 09:46:42,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.006979 mm,  Weather:T=23.4C,P=973.4hPA(mbar),H=34.9%,  Fast Pt Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.001841 mm, h = 0.000095, v = 0.000091 deg. Level Compensation OFF
Standpunkt 1,  Panel6,  PA6_9,  611.060132,  -483.184330,  -47.546255,  6.350000,  6.350000,  06/14/23 09:47:00,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.001889 mm,  Weather:T=23.4C,P=973.4hPA(mbar),H=34.9%,  Fast Pt Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000781 mm, h = 0.000023, v = 0.000036 deg. Level Compensation OFF
Standpunkt 1,  Panel6,  PA6_10,  247.419829,  -482.919468,  583.322518,  6.350000,  6.350000,  06/14/23 09:47:06,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.002490 mm,  Weather:T=23.4C,P=973.4hPA(mbar),H=34.9%,  Fast Pt Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.001037 mm, h = 0.000041, v = 0.000020 deg. Level Compensation OFF
Standpunkt 1,  Panel6,  PA6_11,  209.560446,  -463.091829,  654.362027,  6.350000,  6.350000,  06/14/23 09:47:12,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.003063 mm,  Weather:T=23.4C,P=973.4hPA(mbar),H=34.9%,  Fast Pt Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000221 mm, h = 0.000040, v = 0.000044 deg. Level Compensation OFF
Standpunkt 1,  Panel6,  PA6_12,  209.369403,  -374.698741,  655.069275,  6.350000,  6.350000,  06/14/23 09:47:23,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.005069 mm,  Weather:T=23.4C,P=973.4hPA(mbar),H=34.9%,  Fast Pt Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.003151 mm, h = 0.000068, v = 0.000038 deg. Level Compensation OFF
Standpunkt 1,  Panel6,  PA6_13,  209.620269,  33.118493,  654.417727,  6.350000,  6.350000,  06/14/23 09:47:29,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.006758 mm,  Weather:T=23.4C,P=973.4hPA(mbar),H=34.9%,  Fast Pt Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.005293 mm, h = 0.000078, v = 0.000028 deg. Level Compensation OFF
Standpunkt 1,  Panel6,  PA6_15,  174.798460,  -509.846781,  765.789025,  6.350000,  6.350000,  06/14/23 09:47:38,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.003324 mm,  Weather:T=23.4C,P=973.4hPA(mbar),H=34.9%,  Fast Pt Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000299 mm, h = 0.000053, v = 0.000033 deg. Level Compensation OFF
