// SpatialAnalyzer SA 2023.1.0525.4 ( x64 )  
// Punkte relativ zum Koordiantensystem '20230914::WORLD*'
// 68.26% Vertrauensbereich (1.0 sigma)
// UNCERTAINTY: U-x,  U-y,  U-z
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [HighTol-x],  [LowTol-x],  [HighTol-y],  [LowTol-y],  [HighTol-z],  [LowTol-z],  [HighTol-mag],  [LowTol-mag],  [U-x],  [U-y],  [U-z],  [U-mag],  [W-x],  [W-y],  [W-z],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

20230914,  Positioniere Instr.1,  38-15,  5535.300672,  -1456.183996,  -1533.806657,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.016748,  0.017229,  0.017331,  0.029626,  ,  ,  ,  09/14/23 11:04:27,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.005283 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000154 mm, h = 0.000066, v = 0.000059 deg. Level Compensation OFF
20230914,  Positioniere Instr.1,  36-20,  763.337902,  -1453.108773,  -3572.405247,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.016988,  0.017006,  0.016712,  0.029276,  ,  ,  ,  09/14/23 11:04:58,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.004700 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000063, v = 0.000051 deg. Level Compensation OFF
20230914,  Positioniere Instr.1,  PIM1_4,  3276.746968,  519.495207,  4013.374720,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.023736,  0.023826,  0.020114,  0.039187,  ,  ,  ,  09/14/23 11:05:29,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.010368 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000186 mm, h = 0.000057, v = 0.000107 deg. Level Compensation OFF
20230914,  Positioniere Instr.1,  PIM1_5,  3161.091861,  -1415.682556,  4037.471188,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.024687,  0.024460,  0.020904,  0.040556,  ,  ,  ,  09/14/23 11:05:39,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.015571 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000122 mm, h = 0.000124, v = 0.000128 deg. Level Compensation OFF
20230914,  Positioniere Instr.1,  PIM1_3,  5231.939597,  -107.166882,  4639.080997,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.028470,  0.029810,  0.024642,  0.048025,  ,  ,  ,  09/14/23 11:05:52,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.007949 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000000 mm, h = 0.000059, v = 0.000045 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_1,  209.734313,  418.396064,  654.631227,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.013728,  0.012766,  0.013195,  0.022924,  ,  ,  ,  09/14/23 11:07:23,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.005648 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000485 mm, h = 0.000069, v = 0.000102 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_2,  208.562800,  475.635527,  655.878534,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.013755,  0.012826,  0.013235,  0.022998,  ,  ,  ,  09/14/23 11:07:28,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.007276 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000279 mm, h = 0.000129, v = 0.000094 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6-16,  172.380500,  507.127992,  768.978701,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014041,  0.013298,  0.013666,  0.023680,  ,  ,  ,  09/14/23 11:07:33,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.006080 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000552 mm, h = 0.000081, v = 0.000099 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_3,  246.290329,  480.026518,  585.219190,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.013552,  0.012501,  0.012933,  0.022521,  ,  ,  ,  09/14/23 11:07:39,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.009301 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000298 mm, h = 0.000132, v = 0.000162 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_4,  624.939790,  478.470740,  -72.068789,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.011928,  0.009569,  0.009876,  0.018204,  ,  ,  ,  09/14/23 11:07:46,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.005098 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000711 mm, h = 0.000116, v = 0.000098 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_18,  719.167327,  496.811588,  -242.450027,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.011628,  0.008970,  0.009090,  0.017272,  ,  ,  ,  09/14/23 11:07:51,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.003193 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000241 mm, h = 0.000079, v = 0.000067 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_17_M1,  719.763269,  -498.595290,  -243.798361,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.011627,  0.009145,  0.009170,  0.017404,  ,  ,  ,  09/14/23 11:08:04,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.003474 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000135 mm, h = 0.000096, v = 0.000059 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_9,  611.050311,  -483.653254,  -47.559764,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.011988,  0.009820,  0.010069,  0.018480,  ,  ,  ,  09/14/23 11:08:10,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.003955 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000463 mm, h = 0.000094, v = 0.000068 deg. Level Compensation OFF
