Standpunkt 1,  Ebene Unten,  U1,  1127.459038,  -1516.008869,  -1239.615356,  6.350000,  6.350000,  04/20/18 13:25:01,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.000303 mm,  Weather:T=22.1C,P=982.4hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000149, 2 = 0.000045, 3 = 0.000050 mm
Standpunkt 1,  Ebene Unten,  U2,  968.290876,  -1471.324366,  -1240.102020,  6.350000,  6.350000,  04/20/18 13:25:26,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.000440 mm,  Weather:T=22.2C,P=982.3hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000087, 2 = 0.000132, 3 = 0.000300 mm
Standpunkt 1,  Ebene Unten,  U3,  802.247776,  -1433.272178,  -1240.564506,  6.350000,  6.350000,  04/20/18 13:25:42,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003342 mm,  Weather:T=22.2C,P=982.3hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.002005, 2 = 0.000194, 3 = 0.000400 mm
Standpunkt 1,  Ebene Unten,  U4,  759.053483,  -1480.130088,  -1240.536937,  6.350000,  6.350000,  04/20/18 13:26:02,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.006132 mm,  Weather:T=22.2C,P=982.4hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.002481, 2 = 0.002053, 3 = 0.001550 mm
Standpunkt 1,  Ebene Unten,  U5,  806.860206,  -1691.903377,  -1240.018772,  6.350000,  6.350000,  04/20/18 13:27:32,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003607 mm,  Weather:T=22.2C,P=982.4hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001815, 2 = 0.000008, 3 = 0.001200 mm
Standpunkt 1,  Ebene Oben,  O1,  750.748641,  -1713.055029,  -528.681219,  6.350000,  6.350000,  04/20/18 13:28:10,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003640 mm,  Weather:T=22.3C,P=982.3hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000140, 2 = 0.001861, 3 = 0.000300 mm
Standpunkt 1,  Ebene Oben,  O2,  733.694846,  -1612.796399,  -529.025076,  6.350000,  6.350000,  04/20/18 13:28:28,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.002005 mm,  Weather:T=22.3C,P=982.3hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000004, 2 = 0.000079, 3 = 0.002000 mm
Standpunkt 1,  Ebene Oben,  O3,  738.347021,  -1485.279940,  -529.541378,  6.350000,  6.350000,  04/20/18 13:28:36,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.000841 mm,  Weather:T=22.3C,P=982.3hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000079, 2 = 0.000455, 3 = 0.000250 mm
Standpunkt 1,  Ebene Oben,  O4,  833.600066,  -1438.556874,  -529.602126,  6.350000,  6.350000,  04/20/18 13:28:46,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.001826 mm,  Weather:T=22.3C,P=982.3hPA(mbar),H=36.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001026, 2 = 0.000034, 3 = 0.000650 mm
Standpunkt 1,  Ebene Oben,  O5,  924.220670,  -1505.738420,  -529.337811,  6.350000,  6.350000,  04/20/18 13:28:59,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.005014 mm,  Weather:T=22.3C,P=982.3hPA(mbar),H=36.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.002123, 2 = 0.001804, 3 = 0.000050 mm
Standpunkt 1,  Ebene Oben,  O6,  996.886998,  -1472.919021,  -529.422759,  6.350000,  6.350000,  04/20/18 13:29:09,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003843 mm,  Weather:T=22.3C,P=982.3hPA(mbar),H=36.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001972, 2 = 0.000138, 3 = 0.001550 mm
