Aufmass Target eingebaut,  Targetposition 271.5 (danach Kabelriss),  TC-12,  -0.838329,  1011.425056,  -1.492737,  6.350000,  6.350000,  05/17/22 10:13:20,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.013412 mm,  Weather:T=22.4C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 271.5 (danach Kabelriss),  TC-10,  -2.951577,  935.690611,  55.253475,  6.350000,  6.350000,  05/17/22 10:13:27,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.023956 mm,  Weather:T=22.4C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 271.5 (danach Kabelriss),  TC-2,  42.425747,  934.831172,  -44.108820,  6.350000,  6.350000,  05/17/22 10:13:33,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.013571 mm,  Weather:T=22.4C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 271.5 (danach Kabelriss),  TC-11,  51.648108,  828.474223,  55.023863,  6.350000,  6.350000,  05/17/22 10:13:39,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.008711 mm,  Weather:T=22.4C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 271.5 (danach Kabelriss),  TC-4,  -50.844665,  828.529226,  -61.636457,  6.350000,  6.350000,  05/17/22 10:13:50,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.044976 mm,  Weather:T=22.4C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 271.5 (danach Kabelriss),  TC-7,  54.436701,  721.813307,  -61.080351,  6.350000,  6.350000,  05/17/22 10:14:00,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.016762 mm,  Weather:T=22.4C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 271.5 (danach Kabelriss),  TC-13,  2.964669,  722.237972,  78.626766,  6.350000,  6.350000,  05/17/22 10:14:11,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.019231 mm,  Weather:T=22.4C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 160.5,  TC-12,  -1.170911,  900.271993,  -1.150480,  6.350000,  6.350000,  05/17/22 10:34:03,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.015398 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 160.5,  TC-10,  -3.304741,  824.558946,  55.565272,  6.350000,  6.350000,  05/17/22 10:34:08,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.030646 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 160.5,  TC-2,  42.104047,  823.680519,  -43.810030,  6.350000,  6.350000,  05/17/22 10:34:14,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.031389 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 160.5,  TC-4,  -51.153496,  717.370624,  -61.340332,  6.350000,  6.350000,  05/17/22 10:34:23,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.020433 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
